1,Laptop,TECNOLOGIA,1
2,Set de cocina,ELECTRODOMESTICOS,3
3,Kit de maquillaje,COSMETICOS,6
4,Juego de llantas para automóvil,ALIMENTOS,2
5,Smartphone,TECNOLOGIA,4
6,Aspiradora robot,ELECTRODOMESTICOS,5
7,Perfume,COSMETICOS,1
8,Tablet,TECNOLOGIA,3
9,Cafetera eléctrica,ELECTRODOMESTICOS,6
10,Crema facial,COSMETICOS,2
11,Reloj inteligente,TECNOLOGIA,4
12,Horno de microondas,ELECTRODOMESTICOS,5
13,Sombra de ojos,COSMETICOS,1
14,Drone,TECNOLOGIA,3
15,Lavadora de ropa,ELECTRODOMESTICOS,6
16,Lápiz labial,COSMETICOS,2
17,Altavoz inteligente,TECNOLOGIA,4
18,Plancha para ropa,ELECTRODOMESTICOS,5
19,Base de maquillaje,COSMETICOS,1
20,Cámara digital,TECNOLOGIA,3
21,Refrigerador,ELECTRODOMESTICOS,6
22,Máscara de pestañas,COSMETICOS,2
23,Auriculares inalámbricos,TECNOLOGIA,4
24,Robot de cocina,ELECTRODOMESTICOS,5
25,Corrector de ojeras,COSMETICOS,1
26,Televisor inteligente,TECNOLOGIA,3
27,Licuadora,ELECTRODOMESTICOS,6
28,Perfume masculino,COSMETICOS,2
29,Portátil,TECNOLOGIA,4
30,Secadora de cabello,ELECTRODOMESTICOS,5
31,Base de maquillaje en polvo,COSMETICOS,1
32,Consola de videojuegos,TECNOLOGIA,3
33,Hervidor eléctrico,ELECTRODOMESTICOS,6
34,Labial mate,COSMETICOS,2
35,Cámara de seguridad,TECNOLOGIA,4
36,Batidora de mano,ELECTRODOMESTICOS,5
37,Máscara facial,COSMETICOS,1
38,Smartwatch,TECNOLOGIA,3
39,Aspiradora de mano,ELECTRODOMESTICOS,6
40,Rímel waterproof,COSMETICOS,2
41,Impresora,TECNOLOGIA,4
42,Robot aspirador,ELECTRODOMESTICOS,5
43,Paleta de sombras,COSMETICOS,1
44,Router inalámbrico,TECNOLOGIA,3
45,Cafetera de cápsulas,ELECTRODOMESTICOS,6
46,Perfume floral,COSMETICOS,2
47,Teclado inalámbrico,TECNOLOGIA,4
48,Horno eléctrico,ELECTRODOMESTICOS,5
49,Corrector de maquillaje,COSMETICOS,1
50,Altavoz Bluetooth,TECNOLOGIA,3
